Gene	OoCyte_1	OoCyte_2	OoCyte_3	Zygote_1	Zygote_2	Zygote_3	X2_Cell_embryo_1_Cell_1	X2_Cell_embryo_1_Cell_2	X2_Cell_embryo_2_Cell_1	X2_Cell_embryo_2_Cell_2	X2_Cell_embryo_3_Cell_1	X2_Cell_embryo_3_Cell_2	X4_Cell_embryo_1_Cell_1	X4_Cell_embryo_1_Cell_2	X4_Cell_embryo_1_Cell_3	X4_Cell_embryo_1_Cell_4	X4_Cell_embryo_2_Cell_1	X4_Cell_embryo_2_Cell_2	X4_Cell_embryo_2_Cell_3	X4_Cell_embryo_2_Cell_4	X4_Cell_embryo_3_Cell_1	X4_Cell_embryo_3_Cell_2	X4_Cell_embryo_3_Cell_3	X4_Cell_embryo_3_Cell_4	X8_Cell_embryo_1_Cell_1	X8_Cell_embryo_1_Cell_2	X8_Cell_embryo_1_Cell_3	X8_Cell_embryo_1_Cell_4	X8_Cell_embryo_2_Cell_1	X8_Cell_embryo_2_Cell_2	X8_Cell_embryo_2_Cell_3	X8_Cell_embryo_2_Cell_4	X8_Cell_embryo_2_Cell_5	X8_Cell_embryo_2_Cell_6	X8_Cell_embryo_2_Cell_7	X8_Cell_embryo_2_Cell_8	X8_Cell_embryo_3_Cell_1	X8_Cell_embryo_3_Cell_2	X8_Cell_embryo_3_Cell_3	X8_Cell_embryo_3_Cell_4	X8_Cell_embryo_3_Cell_5	X8_Cell_embryo_3_Cell_6	X8_Cell_embryo_3_Cell_7	X8_Cell_embryo_3_Cell_8	Morulae_1_Cell_1	Morulae_1_Cell_2	Morulae_1_Cell_3	Morulae_1_Cell_4	Morulae_1_Cell_5	Morulae_1_Cell_6	Morulae_1_Cell_7	Morulae_1_Cell_8	Morulae_2_Cell_1	Morulae_2_Cell_2	Morulae_2_Cell_3	Morulae_2_Cell_4	Morulae_2_Cell_5	Morulae_2_Cell_6	Morulae_2_Cell_7	Morulae_2_Cell_8	Late_blastoCyst_1_Cell_1	Late_blastoCyst_1_Cell_2	Late_blastoCyst_1_Cell_3	Late_blastoCyst_1_Cell_4	Late_blastoCyst_1_Cell_5	Late_blastoCyst_1_Cell_6	Late_blastoCyst_1_Cell_7	Late_blastoCyst_1_Cell_8	Late_blastoCyst_1_Cell_9	Late_blastoCyst_1_Cell_10	Late_blastoCyst_1_Cell_11	Late_blastoCyst_1_Cell_12	Late_blastoCyst_2_Cell_1	Late_blastoCyst_2_Cell_2	Late_blastoCyst_2_Cell_3	Late_blastoCyst_2_Cell_4	Late_blastoCyst_2_Cell_5	Late_blastoCyst_2_Cell_6	Late_blastoCyst_2_Cell_7	Late_blastoCyst_2_Cell_8	Late_blastoCyst_2_Cell_9	Late_blastoCyst_2_Cell_10	Late_blastoCyst_3_Cell_1	Late_blastoCyst_3_Cell_2	Late_blastoCyst_3_Cell_3	Late_blastoCyst_3_Cell_4	Late_blastoCyst_3_Cell_5	Late_blastoCyst_3_Cell_6	Late_blastoCyst_3_Cell_7	Late_blastoCyst_3_Cell_8
TAOK3	422.802	340.731	285.095	254.699	236.106	244.57	185.902	187.854	133.589	161.16	94.751	109.074	126.959	134.139	162.42	96.86	85.963	69.696	61.331	50.517	89.851	135.513	104.232	93.79	82.972	133.962	104.238	89.463	94.561	108.798	129.754	100.392	114.813	35.698	61.417	53.944	96.347	103.933	57.441	64.362	58.949	88.881	41.004	84.574	51.533	60.045	86.286	34.761	44.532	34.664	39.866	89.658	84.591	48.477	71.393	93.971	74.915	79.331	43.927	51.15	48.801	98.395	113.473	75.808	90.292	76.527	97.827	59.739	73.105	52.462	53.083	87.429	52.61	8.212	59.108	50.511	3.636	45.04	59.068	87.018	2.07	38.61	0.14	82.506	13.87	1.437	14.758	5.324	26.791	35.967
STK25	15.66	13.015	20.261	17.532	17.336	14.435	11.032	9.326	10.046	8.134	9.1	9.428	9.786	20.475	21.374	5.752	15.258	27.022	17.617	16.196	19.295	32.094	29.436	14.721	9.359	11.502	14.706	10.24	4.875	5.798	10.897	1.713	8.855	0	8.955	0.592	13.148	18.729	11.555	1.055	6.52	11.065	18.285	8.315	14.615	6.188	0	5.49	7.277	18.016	4.712	0.11	9.265	12.681	7.213	1.898	8.994	6.929	4.899	2.007	13.616	12.852	13.567	13.392	15.718	28.189	23.666	14.453	41.106	16.233	26.27	8.252	8.883	12.052	0.939	5.796	20.513	32.531	19.506	10.375	90.531	1.048	33.961	8.182	18.416	30.055	5.142	14.258	54.854	3.564
C3orf39	6.221	3.94	4.949	3.101	3.709	7.418	2.577	2.642	2.225	2.455	1.927	1.443	9.026	0	0	1.073	0.159	2.369	5.463	1.758	2.36	0	4.833	3.082	0.136	1.059	8.443	0.291	4.727	5.816	0.635	0	0.127	0.299	0.36	0	4.784	0	0	4.742	7.551	0.139	0	0	43.373	1.353	0.104	6.931	5.202	6.063	7.443	0	4.123	2.943	1.426	0	0	1.572	0	6.97	3.787	3.532	46.481	0.977	17.691	0.147	0	22.392	9.474	1.254	7.581	16.99	9.206	27.174	0.831	2.298	23.917	9.707	1.703	0.286	0	0	0	0	1.214	1.667	6.889	0	26.021	9.486
CDC25B	50.685	56.226	57.429	105.687	86.452	77.175	83.207	80.152	120.477	122.009	128.853	114.119	84.156	78.713	94.434	86.515	121.667	126.135	121.985	142.857	134.272	132.922	132.539	131.317	89.427	50.353	116.852	58.93	139.678	112.703	113.788	93.851	125.28	71.744	127.135	173.125	92.941	94.485	123.285	68.799	111.594	107.866	61.363	105.952	91.786	110.085	3.158	122.043	159.678	179.179	111.784	1.595	173.502	235.954	141.356	136.915	155.252	210.773	100.85	212.374	15.655	8.225	11.891	12.924	25.723	15.719	14.148	1.784	2.375	0.231	20.243	0.915	20.707	24.202	34.825	4.565	0.794	0.49	7.817	1.413	28.595	0.193	59.432	1.897	16.271	1.488	8.397	0.374	14.918	3.711
BMP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.535	0	0	0	0	0	0	0.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	0	0	0	0	0.409	0	0	0	0	0	0	0	0	0	0	0.18	0.121	0	0	0	0	0	0	0	0	0	0	0	0.109	0	0	0	0.127	0	0.103	0	0	0	0	0	0	0	0
TMEM180	0	0	0.107	0	0	0	0	0.115	0	0.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42	11.97	2.201	2.223	4.281	1.657	0.967	4.723	0.761	0.733	0.206	0.81	1.77	0	0	12.431	0	3.187	0	3.582	16.888	2.478	2.434	0.165	14.871	5.257	20.923	14.419	16.37	1.998	4.665	7.803	0	0.215	2.735	10.772	6.051	0	14.021	2.771	0	10.043	8.882	0.918	0	0.203	0.851	0	0	0	2.678	0	0	0	0	0	2.751	0	2.564	0	4.727	1.206
MAP1LC3C	6.913	7.844	9.322	8.253	7.496	8.588	8.395	7.604	7.843	8.185	6.337	6.144	3.547	5.969	2.617	2.812	5.79	3.054	18.446	5.042	5.262	5.241	9.985	3.913	13.499	11.868	23.114	15.378	7.627	7.552	8.745	4.153	4.918	6.195	6.813	4.467	11.541	9.443	9.76	6.247	8.611	12.474	5.388	7.737	7.643	2.798	16.361	4.632	3.515	3.192	2.57	25.36	12.333	13.451	14.502	12.676	8.021	16.586	19.52	10.383	5.436	3.724	42.167	4.354	5.147	3.046	1.929	2.876	2.51	3.324	3.858	2.545	2.99	5.786	1.938	7.27	1.092	3.251	4.281	2.437	2.974	8.318	16.873	2.762	4.522	1.816	36.317	8.813	2.686	3.2
MIR564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.405	0	0	0	0	0	18.724	6.882	20.702	8.065	6.537	16.039	18.854	6.141	0	6.605	3.638	2.932	13.086	0.141	0	0	0.128	0	0	0	0	0	0	2.048	5.422	2.697	2.036	0	0	0.238	0	9.156	0	5.129	0.816	0.18	0	0	0	0	0	0	0	0	0	0	27.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.136	0
POU3F1	0.11	0.12	0	0	0	0.166	0	0	0	0	0	0.163	0	0.12	0	0	2.412	0	0.15	0	0	0	0	0	2.925	2.512	2.007	1.727	0	0	0.367	0	0	0	0.218	0	0	1.342	0	0.759	0	0	0	0	0	0	0	0.57	0	0	0	0	0	0	0	0	0	0.122	2.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.659	0	0.177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIGD1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104	0	0	0.207	0	0	0	0	0	0	0	0	0	0	1.127	0	0	0	0	0	0.247	0	0	0.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319	0	0	0	0
USP6NL	1.632	1.013	1.746	6.6	7.879	9.399	3.958	3.697	5.518	5.088	5.169	5.161	9.143	23.62	18.478	7.008	9.011	10.594	6.364	5.81	10.138	7.313	9.794	9.699	11.731	6.075	3.333	6.291	6.604	5.853	6.531	12.058	9.726	0	6.296	7.852	11.848	0.727	0.134	3.53	9.188	4.952	7.931	0	8.149	1.759	0.222	1.585	5.955	1.516	3.609	0.346	4.537	0.872	0	1.189	4.075	0.49	0.647	0	1.6	1.396	0.133	0.17	1.149	1.473	3.672	3.312	0.477	0.358	5.743	1.555	0	0.121	0	3.908	9.734	4.283	4.367	0	0	0.199	0	0	0	11.049	0	0	0	17.161
ABCD4	78.74	80.539	77.662	27.938	34.293	26.789	22.271	26.406	21.707	21.633	20.816	22.641	34.362	62.166	36.257	35.672	33.931	25.732	38.152	20.042	31.571	38.598	32.959	33.937	14.634	25.161	27.501	28.699	10.055	7.321	3.2	17.635	0.331	5.138	8.18	10.18	5.526	10.193	0.802	10.922	8.039	11.061	9.02	2.255	9.11	6.245	4.174	9.335	8.238	0.134	4.488	28.28	2.668	6.183	2.954	7.514	0.179	1.113	2.376	5.388	0	0	0	9.042	1.558	2.33	0	2.679	0	3.048	0.862	7.172	1.443	5.097	13.46	3.678	0	6.795	10.529	0.789	0.149	0	36.842	3.778	11.364	66.044	1.38	5.618	10.264	3.058
C11orf93	0	0	0	0	0	0	0	0	0	0	0	0	0.556	0	0	0	0	0	0.138	0.356	2.047	0	0	0	5.958	0	0	15.125	0	0	0	0	0	0	0	1.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIMT1L	10.591	12.597	10.751	14.651	12.306	15.233	8.965	9.561	6.618	8.756	5.5	5.436	1.243	1.539	36.495	45.849	15.849	9.06	3.689	9.275	4.909	16.728	2.739	10.93	6.791	18.774	29.197	6.771	51.29	69.476	32.461	61.624	32.253	108.939	77.528	79.275	38.109	9.73	58.72	23.975	40.404	34.692	13.406	33.52	5.768	25.279	31.165	6.354	19.611	8.259	20.835	0	41.254	99.589	90.268	76.19	112.909	37.85	39.602	52.991	97.488	70.535	10.583	44.657	33.411	124.923	98.204	54.003	107.112	54.882	99.403	65.52	97.226	90.911	23.37	70.285	51.802	77.355	140.332	40.808	150.811	135.36	5.345	41.545	70.917	0.316	90.788	103.511	31.486	4.238
TEK	5.844	4.235	4.645	13.447	15.343	17.915	3.651	3.511	4.538	4.932	4.176	4.048	7.494	24.755	23.027	4.866	11.342	9.164	7.423	8.744	12.743	12.184	10.126	8.446	6.125	9.589	7	9.698	2.725	1.807	2.078	7.064	1.991	0.45	0.767	3.65	3.614	0	6.957	6.394	1.247	5.362	0	1.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257	0.401	0	0	0	0	0	0	0	0	0	4.094	0	0	0	0	0
SLC25A46	25.85	26.959	26.349	100.69	92.141	90.583	86.584	79.945	97.568	80.725	93.642	78.701	105.343	99.392	84.644	109.312	116.482	131.08	79.478	150.67	79.824	118.835	109.807	108.521	119.249	164.201	80.934	96.376	19.88	40.235	50.543	23.667	40.425	15.087	9.738	28.175	49.015	47.693	17.888	17.844	36.299	26.017	21.058	30.149	33.762	12.367	4.196	16.825	9.184	0.255	11.094	49.306	8.532	5.956	16.156	2.33	9.933	0.794	0	0.802	55.844	13.183	23.356	13.498	17.045	19.508	9.252	2.262	0.581	0.457	18.294	17.202	19.938	53.294	1.643	0.414	0.16	28.506	0	0	0	7.754	0	15.971	5.126	0	1.394	0.136	0.116	29.728
LARP7	454.819	354.219	339.977	524.719	567.168	641.465	332.115	370.758	227.627	321.959	220.367	262.344	115.101	101.166	107.61	144.554	40.344	58.859	36.873	52.467	53.315	48.999	31.002	40.685	22.697	17.861	24.705	34.579	47.775	39.538	53.71	27.869	23.439	54.641	56.947	39.642	35.181	9.253	18.534	11.538	7.879	5.659	29.435	12.945	54.781	58.897	9.804	111.156	78.776	54.687	32.006	38.457	40.158	31.99	23.961	37.235	45.477	31.117	31.406	21.171	22.187	69.438	136.928	5.325	35.342	55.856	82.293	59.645	27.831	22.201	46.536	94.828	37.826	17.607	13.54	88.288	68.732	19.867	72.423	7.083	79.743	109.343	27.957	3.382	39.133	15.743	24.421	73.144	22.825	7.841
