"","OoCyte_1","OoCyte_2","OoCyte_3","Zygote_1","Zygote_2","Zygote_3","X2_Cell_embryo_1_Cell_1","X2_Cell_embryo_1_Cell_2","X2_Cell_embryo_2_Cell_1","X2_Cell_embryo_2_Cell_2","X2_Cell_embryo_3_Cell_1","X2_Cell_embryo_3_Cell_2","X4_Cell_embryo_1_Cell_1","X4_Cell_embryo_1_Cell_2","X4_Cell_embryo_1_Cell_3","X4_Cell_embryo_1_Cell_4","X4_Cell_embryo_2_Cell_1","X4_Cell_embryo_2_Cell_2","X4_Cell_embryo_2_Cell_3","X4_Cell_embryo_2_Cell_4","X4_Cell_embryo_3_Cell_1","X4_Cell_embryo_3_Cell_2","X4_Cell_embryo_3_Cell_3","X4_Cell_embryo_3_Cell_4","X8_Cell_embryo_1_Cell_1","X8_Cell_embryo_1_Cell_2","X8_Cell_embryo_1_Cell_3","X8_Cell_embryo_1_Cell_4","X8_Cell_embryo_2_Cell_1","X8_Cell_embryo_2_Cell_2","X8_Cell_embryo_2_Cell_3","X8_Cell_embryo_2_Cell_4","X8_Cell_embryo_2_Cell_5","X8_Cell_embryo_2_Cell_6","X8_Cell_embryo_2_Cell_7","X8_Cell_embryo_2_Cell_8","X8_Cell_embryo_3_Cell_1","X8_Cell_embryo_3_Cell_2","X8_Cell_embryo_3_Cell_3","X8_Cell_embryo_3_Cell_4","X8_Cell_embryo_3_Cell_5","X8_Cell_embryo_3_Cell_6","X8_Cell_embryo_3_Cell_7","X8_Cell_embryo_3_Cell_8","Morulae_1_Cell_1","Morulae_1_Cell_2","Morulae_1_Cell_3","Morulae_1_Cell_4","Morulae_1_Cell_5","Morulae_1_Cell_6","Morulae_1_Cell_7","Morulae_1_Cell_8","Morulae_2_Cell_1","Morulae_2_Cell_2","Morulae_2_Cell_3","Morulae_2_Cell_4","Morulae_2_Cell_5","Morulae_2_Cell_6","Morulae_2_Cell_7","Morulae_2_Cell_8","Late_blastoCyst_1_Cell_1","Late_blastoCyst_1_Cell_2","Late_blastoCyst_1_Cell_3","Late_blastoCyst_1_Cell_4","Late_blastoCyst_1_Cell_5","Late_blastoCyst_1_Cell_6","Late_blastoCyst_1_Cell_7","Late_blastoCyst_1_Cell_8","Late_blastoCyst_1_Cell_9","Late_blastoCyst_1_Cell_10","Late_blastoCyst_1_Cell_11","Late_blastoCyst_1_Cell_12","Late_blastoCyst_2_Cell_1","Late_blastoCyst_2_Cell_2","Late_blastoCyst_2_Cell_3","Late_blastoCyst_2_Cell_4","Late_blastoCyst_2_Cell_5","Late_blastoCyst_2_Cell_6","Late_blastoCyst_2_Cell_7","Late_blastoCyst_2_Cell_8","Late_blastoCyst_2_Cell_9","Late_blastoCyst_2_Cell_10","Late_blastoCyst_3_Cell_1","Late_blastoCyst_3_Cell_2","Late_blastoCyst_3_Cell_3","Late_blastoCyst_3_Cell_4","Late_blastoCyst_3_Cell_5","Late_blastoCyst_3_Cell_6","Late_blastoCyst_3_Cell_7","Late_blastoCyst_3_Cell_8"
"ARHGAP15",4.687,7.992,7.179,6.754,6.081,8.422,6.259,6.982,3.644,4.083,3.651,5.166,17.561,11.32,30.654,24.64,16.37,10.138,13.337,10.789,16.535,24.473,11.796,10.062,8.996,7.765,6.896,7.431,0.805,0,0.856,0,0.32,0,0,0.216,3.229,0.151,0,3.252,3.284,5.392,0.566,0.305,0,0,1.349,0,0.315,0,0,2.266,0,0,0,0.493,0,0,0,0,0,0,0,0,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB4",7.22,11.896,11.454,17.83,12.575,12.486,8.412,9.195,11.681,12.144,8.771,9.839,10.362,9.722,3.645,11.589,13.144,13.108,17.658,17.875,16.328,21.523,14.815,9.53,20.588,19.887,12.727,10.245,1.055,7.849,2.425,5.896,1.062,3.92,1.746,0.592,5.248,2.349,5.188,1.598,3.924,7.012,2.874,4.68,11.108,4.396,18.535,7.372,3.715,3.499,3.614,6.162,9.231,9.297,5.554,10.222,3.964,7.774,7.493,4.133,13.286,0.284,7.749,0.386,2.403,2.419,0.251,1.79,0.108,0.209,2.19,1.382,6.455,0.749,0.281,3.622,6.367,0.172,0.143,0.355,0.187,0.875,1.231,0.223,0.197,0.123,0.235,0.632,0.144,0.365
"NBPF3",3.534,4.051,3.785,2.397,2.5,3.059,1.254,1.414,1.815,2.009,1.925,1.692,2.542,12.92,2.731,0.918,4.084,0.562,3.295,2.122,3.033,3.19,2.416,1.048,0.844,0.207,4.586,0.644,1.049,1.314,3.625,0,0,0.183,0,7.997,0.869,0.868,0.97,0.722,1.161,0.253,4.297,0.732,1.047,1.277,0.14,3.342,1.071,0.696,0.102,0,0.181,0.926,0.705,2.014,4.478,0.933,3.509,0.66,0,1.664,0,0,1.489,0.668,4.737,0,0,0,1.097,0.144,0.631,0.439,0.107,0,13.356,1.899,0,0,0,0,0,0,1.696,0,1.84,0,0,0
"DOCK11",0.257,0.708,0.537,0.276,0.986,0.505,0.548,0.545,0.686,0.369,0.257,0.392,1.205,0,7.327,0,1.599,2.519,1.429,2.207,1.763,0,1.95,0.573,0.999,3.282,2.085,3.238,0.707,0,0.826,0,0,0,0,1.652,0.868,0,1.232,1.249,0.616,0,0,0,0,1.271,0,0.841,0,0,1.211,0,1.08,2.438,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,5.39,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASAH1",23.052,32.526,24.197,21.536,22.795,22.482,16.332,16.504,18.979,12.936,15.745,16.686,19.804,14.49,24.997,24.769,13.305,18.159,20.161,26.285,11.334,10.937,12.964,19.79,22.079,12.077,12.535,10.302,11.243,3.098,3.777,0.63,1.994,2.135,4.775,0.145,2.548,0.185,0,7.873,5.222,0.431,0.114,4.327,7.298,0.112,0,2.845,2.748,3.649,6.533,0,1.639,1.503,0,0,2.403,0.864,4.004,0.108,172.782,25.665,25.686,75.991,80.804,63.224,96.915,73.534,106.949,37.537,14.447,62.571,32.221,3.156,0.23,23.148,92.293,74.982,136.167,6.737,12.188,86.087,14.479,17.84,65.542,27.744,0.704,0.242,100.92,43.992
"RGS14",0.842,0.811,1.808,2.341,2.455,3.8,3.675,4.327,1.618,2.877,3.214,2.771,6.718,5.009,8.126,9.975,0.369,4.154,8.374,12.466,11.602,5.458,19.428,10.727,6.116,0.471,0.662,1.752,1.859,0.202,2.279,1.982,0,0.201,0.304,0.764,0,1.193,12.063,2.392,2.601,0.483,0,4.121,1.781,0.53,20.382,2.75,2.63,0,0.212,13.933,1.588,0,0.1,4.324,1.02,0.669,0.992,0.963,0,0.109,0,0.24,0,0,0,0,1.047,0,0,0,0,0.209,0,8.996,0,0,0,0.302,0,0,0,6.764,0,0.962,1.626,0,0,0
"IL18BP",0,0,0,0.218,0.183,0.14,0.139,0,0,0.297,0.161,0.539,0,0,0,0,0,0.156,0.358,0,0,0,0,0.759,0,0,0,0,0,0.261,0.593,0,0.295,0,3.904,0,0,1.178,0,0,0,0,2.153,0,0,0,0,0,0,0,0,0,7.989,0,0.296,0,9.375,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RTN4RL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD11",60.489,50.776,43.38,25.256,24.648,24.533,20.612,22.118,22.206,21.719,21.685,19.277,44.494,31.823,28.651,34.075,31.401,69.479,37.805,27.991,29.334,27.277,24.247,32.559,20.384,26.789,12.921,35.334,0,2.305,4.566,3.886,0.249,0.641,0.873,2.925,0,4.459,0,0.506,5.607,6.742,1.093,0,10.56,0,9.566,2.674,1.379,0,0,4.088,0,0,0.204,2.85,0,0.553,2.686,0.62,0,0,0,0,0.134,0,3.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,0
"SCHIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.452,0,1.02,4.12,0,0,0,0.115,0,0,0,0,0,0,0,5.52,2.118,0.765,2.525,3.432,2.425,1.56,12.34,11.924,9.746,32.984,20.982,10.052,4.551,9.928,26.42,0.387,0.326,0,2.835,6.119,0,5.636,0,15.203,17.26,1.718,1.209,25.328,1.697,10.563,6.36,3.517,7.811,0,0,0,0,0,4.413,8.073,0.302,0,0.36,0.235,0,0.191,0,0.177,1.972,0.37,33.55,0.569,0.766,0,5.233,17.229,0,15.596,0,0,0
"OLFML2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,1.414,0,0,0,0,0,0,0,0.148,0,0.337,0,0.171,0,0.312,0,0.712,0.127,0,0.679,0,0.108,0.149,0,0,0.146,0,0.111,0.135,0,0.443,0.933,0,0,0.137,0.323,0.104,1.767,1.513,0.116,1.472,0.109,0.183,0,0,0,0.307,0.159,0.121,0,0,0.105,0,0,0,0.182,0.136,0.22,0.123,0.182,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0
"RAB38",1.569,5.505,5.49,4.337,2.04,1.904,5.2,4.821,5.123,2.717,4.125,2.887,14.175,5.178,15.667,8.147,12.326,12.568,10.572,12.755,8.31,5.414,3.617,10.779,28.104,5.576,2.609,5.088,0.794,0,0.229,0,0,0,0,0.315,0.412,0,0,0,3.56,0.1,0,0,0.241,0,0.187,0,0,0,0,0,2.452,0,0,0,0,0.127,0.182,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLSCR4",0.134,0.131,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,1.47,0,0,2.704,0.478,4.777,2.915,1.836,1.171,0,1.836,2.496,2.61,4.029,11.697,0,2.081,0,0.769,1.674,7.951,0,0.307,2.022,0,0,0,0,2.06,0,0.703,1.058,0,0,1.193,1.384,0,0,0,0,0,0,0,0,0,0,0.63,0,0.808,5.887,7.529,0,0,0,0,0,0,0,12.685,0,0,5.037,1.58,0,0,0
"ZNF738",5.008,8.861,5.823,8.336,5.453,3.254,5.09,4.3,3.539,3.586,4.329,4.727,8.725,7.618,11.654,12.407,1.725,4.439,3.877,6.774,5.87,8.906,8.284,6.23,4.767,7.097,3.981,4.342,1.939,1.896,4.181,1.914,0.815,2.144,2.149,2.153,1.824,1.544,1.126,3.888,2.419,0.761,3.64,2.315,3.637,2.092,0.607,2.432,1.619,1.551,1.536,0.62,1.482,1.423,3.663,1.682,0.805,1.306,1.396,3.043,2.325,1.79,3.819,4.605,5.406,0.945,2.853,2.08,2.684,4.274,2.346,1.239,0.921,5.358,1.32,0.966,0.931,2.189,0.841,1.709,0.676,2.797,0.273,0.448,4.495,1.39,5.028,0.189,0.586,0.281
"AHRR",1.139,0.831,1.142,2.338,1.043,1.96,0.796,0.603,1.61,1.147,1.119,1.087,0.591,0.205,0.799,1.194,1.091,1.145,1.083,4.58,1.663,1.525,2.058,2.721,1.831,0.213,1.645,0.782,0,0,0,0,0.284,3.708,0,0.213,0.139,1.631,0,1.391,0.95,0,0.141,0,0.529,1.578,0,0.987,2.305,0,1.872,0,0,1.065,0,0,7.149,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FHDC1",0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0.355,0,0,0,0,0.476,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,1.277,0.109,0,0,0,0,0,0,0.122,0,0.72,0,1.536,0,0,0.584,0,0,0,0,0.224,1.238,0,0,0,4.627,5.754,0,0,0.388,0,0,0,0,1.268,7.971,0.419,0,0,0,0,0,0,0,0,1.715,0,12.401,10.904,0,0,0
"SEMA3G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035,0,0.128,0.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRHL1",4.381,10.752,8.378,10.053,11.865,12.883,5,4.669,4.569,3.947,6.046,4.948,3.656,2.883,0,7.572,2.464,12.768,9.691,16.548,13.186,13.692,14.666,10.902,1.284,8.145,1.019,1.432,0.186,0,0,0,0,0,0,0.932,0,0,0,0.127,1.847,0,0,0.265,0,0,2.267,0,0,0,0,5.592,0,0,0,0,0,0,0,0,6.446,5.989,6.257,0.176,0.807,1.653,0.207,7.631,1.934,0,7.292,2.134,2.582,1.196,5.268,8.062,2.409,4.468,0.295,0,5.743,1.081,2.724,0,8.811,0,4.743,0.571,44.228,12.203
"IL23A",1.415,0.817,2.61,2.151,1.763,2.049,0.666,0.469,1.14,0.619,0.21,1.02,0,0,0,2.214,1.318,3.213,3.692,0,0,2.858,1.997,2.24,4.71,12.095,5.293,31.676,0,0,0,0,0,0,0,0.244,0.358,0,0,0.305,7.588,0.135,0,0,0,0,0,0.185,0,0,0,0,0.653,7.797,0.772,0.104,0,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.246,0,0,0,0
"C5",5.015,1.831,4.765,7.515,13.146,12.249,2.831,2.426,2.033,2.494,7.163,8.299,8.724,5.346,5.734,9.676,5.69,7.991,4.168,4.514,7.714,5.855,10.676,5.689,5.563,5.62,1.031,3.742,0,0,0,0,0,0,0,2.542,0,0,0,0,0,0,3.327,0.329,0,0,0.29,0.741,0,0,0,7.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD26",12.094,14.988,12.846,14.022,8.05,9.159,7.055,8.862,8.842,7.063,4.696,5.223,3.94,9.607,9.123,7.248,2.036,2.379,3.107,0.78,1.91,2.814,1.196,1.366,6.153,13.888,6.178,9.791,5.199,9.092,9.543,15.632,22.541,1.884,6.286,3.226,1.602,4.799,1.824,2.051,0.964,0.795,3.062,0.993,35.335,28.375,24.531,13.307,9.411,23.447,10.506,20.74,4.8,5.781,5.776,1.989,7.627,2.943,7.33,9.062,9.943,4.288,5.916,10.914,4.174,11.769,1.348,5.597,4.968,0,0.734,3.916,10.297,4.292,7.335,3.267,4.271,0.932,2.363,1.576,0.169,2.484,0,12.682,0.742,6.642,1.112,5.817,0,12.184
"SCRN1",0.463,0.55,0.424,2.071,3.297,1.559,0.698,1.133,1.305,1.173,0.96,1.173,0.323,0,3.258,0.626,0,0,1.863,2.299,1.357,0.613,0,0.578,0,3.902,0.186,0,0,0,0,0,0.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642,0,0,0.335,0,0,0,0.134,0,0,6.569,41.961,14.34,0,0,0,0,6.845,0.128,0,0,1.664,0,0,3.854,0,0,0
"METTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLR3G",50.184,43.849,47.384,48.565,39.101,57.256,61.094,64.343,52.617,67.055,40.233,41.714,8.665,22.09,11.13,12.317,25.928,24.306,20.878,24.085,34.56,29.03,24.76,21.847,6.584,17.085,25.513,21.693,11.939,13.611,30.508,15.935,1.394,31.345,20.763,21.297,12.773,5.647,1.409,15.373,7.035,9.981,3.882,0.898,66.046,102.961,73.132,67.333,32.242,15.246,78.96,4.782,25.098,45.184,36.636,57.754,15.999,49.609,62.202,61.386,5.546,9.968,5.138,17.196,0.902,8.904,16.732,11.765,16.104,0.409,9.691,11.748,5.519,29.039,0.949,0.259,0.529,14.671,13.514,0.126,0.238,0,0,0,6.913,3.013,0,11.111,8.378,4.018
"RCAN1",27.408,45.429,41.927,16.969,24.918,24.528,11.513,14.219,25.557,17.567,14.051,10.968,3.632,5.544,7.738,22.381,11.891,11.216,15.494,16.935,15.39,17.543,18.845,6.298,0.398,4.342,0.202,6.294,5.895,3.241,4.029,0.101,2.217,4.55,6.204,11.231,8.4,10.585,5.636,14.527,20.799,10.874,9.682,24.139,21.207,12.206,0.217,5.529,9.739,25.326,16.25,0,7.566,0,0,3.95,5.624,6.821,1.018,3.796,1.035,1.148,0,0,14.622,3.299,3.841,15.287,0,26.703,9.977,0,5.834,8.762,0.166,11.201,0,0.19,50.051,0.855,0.601,19.227,0,0.138,5.842,0,0,0,11.126,0.426
"LIMD2",1.271,0.744,0.693,1.831,0.965,0.699,1.518,1.097,1.384,1.226,1.679,1.511,3.914,5.539,0.247,0,3.806,0.249,1.916,0.96,1.846,0.68,2.112,2.07,2.506,0,0.342,1.176,0,0.201,0.633,0,0,0,0,0,1.902,0,0.423,0.131,0.261,0,0,0,0.696,0,5.15,1.275,0.319,0,0.238,0,0,0,0.2,0,0,0.277,0.159,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTN4",1.414,1.439,1.654,1.277,1.236,1.281,0.707,0.72,0.565,0.951,0.749,1.054,0,0,2.219,1.058,0.715,1.652,1.938,1.305,1.88,1.801,3.221,1.43,0,0.391,4.574,0.175,0,0,0,0.186,0,0,0,0.509,0.241,0,3.569,0.537,0,0.39,0,0,0,0,0,0.338,0,0,0,0,2.345,3.114,0.222,0,1.793,0,1.439,0,0.159,0,0,0,0,0,0,0,0,0,0,1.649,0.986,6.739,0.195,0,0,0,0,0,0,0,0,0,0,0.477,0,0,0,0
"BICD1",0.282,0.334,0.404,0.17,0.133,0.391,0.217,0.17,0.304,0,0,0.102,0,0.618,0,0,1.451,0,0.325,0,0.538,0.404,0,1.07,3.214,0.158,0,6.46,0,1.944,1.947,0,0,2.097,1.017,0.124,3.026,0,0,0.148,0,0,0,0,0,3.827,0,3.346,0.154,0.636,0,0,0.744,0.472,0,0.136,1.192,0.996,0.736,1.213,0.221,5.822,12.569,0,0,2.646,9.681,2.038,12.172,19.482,11.797,1.721,3.753,9.651,6.607,6.961,0,0,0.889,0.896,0,0,5.054,7.486,0,0.165,28.334,0.118,0,0
"CASP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLA2G4C",30.498,20.968,19.581,22.157,17.225,28.661,22.673,21.289,14.814,19.714,18.82,28.825,18.826,54.398,44.806,62.341,72.575,52.512,49.006,80.917,40.551,32.345,33.157,47.612,40.827,66.543,32.689,47.585,4.124,37.926,17.799,0,0,9.199,14.58,14.55,24.352,49.99,21.342,41.042,26.423,18.263,6.034,5.369,6.015,4.358,42.623,4.429,10.69,3.723,3.681,0,4.914,1.184,1.034,10.785,0,4.061,7.274,15.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KALRN",6.854,6.673,11.065,13.336,15.217,22.103,17.467,17.141,18.467,17.222,12.547,12.467,37.82,16.063,20.425,23.8,25.264,22.091,27.366,28.827,33.862,31.954,36.621,32.597,25.877,17.798,16.228,21.605,3.634,0.698,1.412,2.828,1.627,0,0.591,1.648,2.684,3.729,3.203,2.306,6.341,9.564,6.1,2.436,6.626,0,1.244,1.551,1.566,0,0,0,0,0,0,0.812,0,0.386,0.134,0,0,0,0,0,0,0,0.219,0,0,0.655,0.174,0,0,0,0,0.283,0,0,0,0.451,0,0,0,0,0,0,0,0,0,0
"SECTM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599,1.092,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5orf56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM49A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,6.37,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEGR1",0.211,0.256,0.352,0.395,0.183,0.236,0.229,0.265,0.142,0.212,0.169,0.174,0.515,0,0,0,0,0,0.137,0,0.17,0,0,0,0.231,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOXA5",0,0,0,0.102,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009,1.011,0,0.392,0,2.582,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531,0,29.085,1.832,2.196,0,0,30.611,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLR5",4.65,2.191,2.958,0.906,1.028,1.457,0.558,1.229,0.812,1.158,0.307,0.326,0,0,0,6.788,4.729,3.443,0,0,2.252,0,0.974,0,0,0,0,0,0.384,0,0,0,0,0,1.967,0,0,0,0,0,1.306,0,0,0,0,0,37.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPI1P2",3.583,3.148,3.383,1.951,2.334,3.263,2.298,1.632,0.329,2.173,2.663,2.415,5.492,0,9.279,4.181,5.803,1.007,1.978,0,0.478,6.397,1.417,0.427,1.164,3.647,7.103,0,0,0,0,0,0.199,0,0.362,0,3.39,0,0,0,0,0,0,0,25.788,0,0,0,7.956,0,3.164,72.611,0,0.123,0,0,0,3.513,0,0,0.219,0,0.114,0.114,0,5.354,0,0.113,0,0,0,0.215,0,0.178,0.299,0,0,0,0.246,0.36,0,0,0,0,0,0,0.111,0,0.134,0
"HHIPL1",0.133,0,0.105,0.157,0.161,0,0.188,0.153,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN12",0,0,0,0.141,0,0,0.14,0.122,0,0.129,0.151,0.126,0.211,0.154,0,0.145,0.288,0.107,0.123,0.141,0,0.146,0.108,0.149,1.606,0.375,5.584,0.485,0.789,2.69,5.049,0.324,0.351,5.913,6.83,1.08,0.41,0.427,0.336,2.804,0.582,0.406,0.631,0.599,1.472,1.83,1.578,7.024,0.31,0.623,0.176,1.295,0.313,0.344,0.389,0.511,0.391,0.59,1.983,0.833,0.234,0.241,1.136,0.199,0.767,0,0.114,0.404,0.303,0.196,0.151,0.175,0.342,0.463,0.44,0.717,0,0,0,0.167,0.648,0.652,0.126,0,0.125,0,0,0,0,0.156
"C1QTNF2",0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0,0,0.219,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0,0,7.954,0,0,0.592,0,0,0,0,0,0,0,0.409,0,0,2.18,0.213,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBP7",0,0,0,0,0,0,0,0,0,0,0,0,0.601,0,0.146,0,0,0,0,0,0,0,0,0,0,14.493,0,0,23.358,57.29,71.973,53.544,12.524,30.816,23.859,47.395,36.179,28.618,55.525,27.144,14.652,4.041,9.744,34.288,197.116,313.02,5.239,313.46,427.902,434.888,262.684,3.583,299.655,538.145,447.605,391.777,234.298,203.322,326.321,271.423,1.483,98.88,178.363,0.265,111.757,149.178,159.724,0.116,9.317,26.18,138.197,22.861,21.951,20.103,2.304,0.953,1.138,0,4.226,0,0,0,0,0,0,0,0,0,21.707,0
"EPB41L3",1.418,0.877,1.236,5.219,6.406,6.03,2.231,2.56,3.373,3.316,4.243,3.616,8.853,7.193,8.355,3.193,7.78,7.693,8.928,12.07,6.276,6.683,4.957,5.092,2.206,1.655,10.769,11.137,0,0,0.822,0,0,0.171,0,0,3.411,0,0,3.017,0.767,0,0,0,4.053,0,13.752,0.549,4.694,0,0.746,5.85,0,0,14.159,1.169,9.182,4.607,2.703,2.682,10.659,0,1.975,1.997,13.525,25.734,0,5.5,25.711,5.967,1.351,2.607,12.849,1.196,19.205,8.013,7.865,11.144,17.774,0.373,0.305,26.948,4.232,0,12.135,0,0,0.463,13.536,0
"MAP3K6",0.819,0.716,0.447,0.564,0.461,0.465,0.32,0.535,0.329,0.526,0.353,0.601,0,1.481,0,3.994,0,0,0.562,1.139,0.539,1.418,1.429,0.348,0,3.089,4.074,2.191,0.809,0,0,0,0,0,0,2.563,2.173,3.855,2.969,1.859,0.259,5.324,0,1.008,3.126,0,0,0.771,0,0,0.177,0,2.961,0.173,0,0,5.014,0.11,0.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0,0,0,0,0.12,0,0,0,0,0,0,5.085,0,0,0
"MAP6",0,0,0,0.251,0,0,0,0.169,0.186,0,0,0.135,1.954,0,0,0,0,0,0,0,1.496,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
